debtor_name,Primary Phone,sunbiz_email,Agent Name,Agent Address,Filing Date,Principal Address,Officer Names,enhanced_distress_level,city,sunbiz_doc_num
"THEE BURGER SPOT, LLC",813-993-3926,Elcaminoislow@aol.com,,",  ",,",  ","Constance Hill, Constance Hill",LOW,TAMPA,L16000140678
"WARREN NAPLES, LLC",954-383-9466,jarred@damngoodhospitality.com,,",  ",,",  ","JEFFREY       J JOHN, BRIAN KOPELOWITZ, ESQ",LOW,NAPLES,L21000435911
MUSASHI LOUNGE LLC,407-326-8484,incorporation@medeirossouza.com,,",  ",,",  ",ROBERTA CABOCLO,LOW,ORLANDO,L19000200152
ELEVATOR NEEDZ LLC,772-900-7524,elevatorneedz@gmail.com,,",  ",,",  ","Rusty         LII Fry, SANDY La Vera Fry, SANDY LA VERA FRY",LOW,PORT SAINT LUCIE,L22000434933
"THE SALTY DONKEY, II, LLC",850-251-4951,chad@heckmanlawgroup.com,,",  ",,",  ","JON           W TURNER, CHAD          D HECKMAN",LOW,PANACEA,L24000150546
GALLI ENTERPRISE LLC,508-864-6064,gallienterprisellc@gmail.com,,",  ",,",  ","DEBBIE YOST, Christopher Galli, Julie Galli, CHRISTOPHER   M GALLI",LOW,LAKEWOOD RANCH,L19000052676
CICALA'S PIZZERIA & RESTAURANT LLC,813-562-6769,cicalaspizzeria@gmail.com,,",  ",,",  ","Victoria Hill Beers, Dylan Beers, BEERS DYLAN",LOW,LAKELAND,L23000383353
MOTORWORKS BREWING LLC,772-216-3818,owner@motorworksbrewing.com,,",  ",,",  ","GARY MILNER, GARY MILNER, Frank         J Tschida, Frank         J Tschida, james         J HUNTER",LOW,BRADENTON,L13000008006
BEACHCOMBER TRADING POST RESTAURANT LLC,941-460-8580,carol.hagemann@att.net,,",  ",,",  ","PETER HAGEMANN, CAROL         A HAGEMANN",LOW,ENGLEWOOD,L23000096626
"GAMORALES, LLC",305-332-9689,bigpapo_8@yahoo.com,,",  ",,",  ","OTTO          L GALINDO CONSTANZA, OTTO          L GALINDO CONSTANZA",LOW,MIAMI,L24000425003
"BANANA WIND BAR AND GRILL, LLC",352-424-2930,compliance@zenbusiness.com,,",  ",,",  ","Huson Gilberstadt, Kimberly Diaz, Kerry Watson, CAROLYN SCOTT, JESUS         D QUICENO",LOW,ZEPHYRHILLS,M24000004818
SOUL SICILIAN FUSION LLC,831-261-9588,natalyaca@yahoo.com,,",  ",,",  ","Sebastiano Mensa, NATALYA HARRISON, Harrison Natalya",LOW,CLEARWATER,L19000197676
SAN AGUSTIN BAKERY LLC,407-557-6045,normanrodriguez870@gmail.com,,",  ",,",  ","Samantha Alvarado, Chinais Acosta, Yolanda Robledo, NORMAN RODRIGUEZ, ENRIQUE PRIETO",LOW,DAVENPORT,L19000296692
PHATZ SPORTS BAR & GRILLE LLC,772-237-9719,SIGSALON@AOL.COM,,",  ",,",  ",,LOW,FORT PIERCE,
EL RINCONCITO SUPERLATINO III,786-301-3761,SCOTT.FALLICK@GMAIL.COM,,",  ",,",  ","ROBERT POLITO, SCOTT FALLICK, SCOTT FALLICK, GABRIEL       J TOLEDO, LETICIA       D TOLEDO",LOW,CUTLER BAY,P11000102731
TEMAK HOUSE FLORIDA,786-281-3656,ERIC@X-MGMT.COM,,",  ",,",  ","ERIC CHAMPION, ERIC CHAMPION, RICARDO CESAR P DE MENDONCA FILHO",LOW,DEERFIELD,P19000072188
LA OAXAQUENA TAQUERIA AND GROCERY STORE INC,239-860-0858,kriswelburn@hotmail.com,,",  ",,",  ","ANA MARIA SANTIAGO, NEREYDA MALI, NEREYDA MALI, KRISTINA WELBURN, KRISTINA WELBURN",LOW,NAPLES,P16000007650
K SHARS LLC,904-597-8947,Ksharsllc27@gmail.com,,",  ",,",  ","SHARLENE CALDWELL, KEENAN CALDWELL",LOW,JACKSONVILLE,L22000027985
EL 809 SUPERMARKET LLC,813-486-0038,809loungetampa@gmail.com,,",  ",,",  ","david         a lugo, earling woolley frias, AMADO CAMILO, AMADO CAMILO",LOW,TAMPA,L16000106740
IRIE DINER,786-683-8437,,,",  ",,",  ",,LOW,ORANGE PARK,
CHI KIN WINDERMERE LLC,407-702-0252,windermere@chi-kin.com,,",  ",,",  ","SYDNEY NGUYEN, SYDNEY NGUYEN",LOW,WINDERMERE,L24000384139
RP FOOD GROUP INCORPORATED,850-486-0136,FORMULA1JCJD@GMAIL.COM,,",  ",,",  ","RAY           J PENNINGTON, RAY           J PENNINGTON, DAVI          D LIMA, JOSHUA        N COWARD, CHRIS         Y CENTANARO",LOW,LAKE WALES,P24000064047
SKY COFFEE BUENOS AIRES,305-910-4745,ONLINEFILINGS@LEGALZOOM.COM,,",  ",,",  ","ROSANA IRMA BENTOS, ROSANA IRMA BENTOS, MICHAEL HOFFMANN",LOW,MIAMI,P22000035664
BUCKS COAL FIRED LLC,561-632-5191,BUCKSCOALFIRED@GMAIL.COM,,",  ",,",  ","CRISTIAN      G GAJARDO VALDIVIA, CRISTIAN      G GAJARDO VALDIVIA, FRANCIS       AIII CECERE, FRANCIS       AIII CECERE",LOW,NORTH PALM BEACH,L23000070816
LALAS BURGERS AND FRIES,305-613-9111,,,",  ",,",  ",,LOW,MIAMI,
218 NSB LLC,720-234-5694,FILINGS@API.LAW,,",  ",,",  ",,LOW,NEW SMYRNA BEACH,L24000510899
SABOR VENEZOLANO ORLANDO CORP,786-301-2851,GREG@GREGORYCREVECOEUR.COM,,",  ",,",  ","GREGORY CREVECOEUR, GREGORY CREVECOEUR, ERNESTO VALBUENA, DERVIN FERRER, YRENE         D BRUNO DE ESCARAY",LOW,ORLANDO,P21000049830
ATLAS DOCK SWFL LLC,239-350-8684,ATLASSDOCKSWFL@GMAIL.COM,,",  ",,",  ",,LOW,NAPLES,
GENERAL HORSEPLAY,305-849-0930,kevin@zuelchaccounting.com,,",  ",,",  ","LANNY PAULEY, LINGA REDDY, CHRISTOPHER SHULTZ, Kevin         C Zuelch",LOW,KEY WEST,L18000023249
KOI CAFE LLC,407-534-3960,Linda@koicafefla.com,,",  ",,",  ","LINDA NGUYEN, JOHNNY        D NGUYEN, JOHNNY        D NGUYEN",LOW,VENICE,L21000172843
NV EATS ENTERPRISE LLC,843-424-3661,info@actaxaccounting.com,,",  ",,",  ","NICHOLAS      J BISHOP, CECILIA       V FRANCO SNYDER NICHOL",LOW,FT MYERS,L24000091414
THE GETAWAY TAMPA BAY LLC,813-267-1602,scotttashkin@gmail.com,,",  ",,",  ",SCOTT         J TASHKIN,LOW,SAINT PETERSBURG,L12000154828
SOUNDSIDE FWB LLC,850-259-3541,soundsidefwb@gmail.com,,",  ",,",  ","VICTOR DESMARAIS MACHADO, VICTOR DESMARAIS MACHADO, BENJAMIN      J MERRELL, BENJAMIN      J MERRELL",LOW,FORT WALTON BEACH,L24000050569
PAPA BRAZI LLC,239-223-5192,papabrazifood@gmail.com,,",  ",,",  ","MARCELO       R ZOUAIN, CLARA         M ZOUAIN, MARCELO       R ZOUAIN",LOW,FORT MYERS,L24000158322
"THE BUTCHER AND THE BAR, LLC",561-374-2750,info@butcherandbar.com,,",  ",,",  ","MARIT HEDEEN, ERIC ANDERSON, DAVID         W SCHMIDT",LOW,BOYNTON BEACH,L18000179091
CHIA CHI LLC,561-597-3216,confirmation@ivy-cpa.com,,",  ",,",  ","CHIA YU LAI, CHIA YU LAI",LOW,MIRAMAR,L23000312673
VIBRAS HEALTHY SPOT INC,786-818-4673,mcarrigan31@yahoo.com,,",  ",,",  ","GABRIELA GONZALEZ, MICHAEL       ASR CARRIGAN, MICHAEL       AJR CARRIGAN",LOW,DORAL,P21000076644
RP PALM BEACH LLC,561-296-7699,jason@jasonhamilton.ink,,",  ",,",  ","INIGO         N ARDID, CHARLOTTE     R SEVILLA, DIEGO ARDID, Inigo Ardid, MARK          W CORNS",LOW,WEST PALM BEACH,M16000007837
TACO TUESDAYS TAQUERIA LLC,561-330-4912,ashley@ptsfla.com,,",  ",,",  ","MAURICIO BOUZAS, ROBYN BOUZAS",LOW,PALM BEACH GARDENS,L23000404057
NEW YORK BAKERY BOYS OVIEDO,347-738-3877,bbnyoviedo@gmail.com,,",  ",,",  ","Alexander Kritikos, NICHOLAS KRITIKOS, ALEX KRITIKOS",LOW,OVIEDO,L23000558976
PIZZA HEAVEN INC,863-763-9299,Pizzaheavenaka@gmail.com,,",  ",,",  ",,LOW,OKEECHOBEE,F81649
MOE GRILLING LLC,561-890-4141,MOESGRILL2024@GMAIL.COM,,",  ",,",  ","MOHAMMED KAHLA, MOHAMMED KAHLA",LOW,RIVIERA BEACH,L25000077387
DOWNTOWN CELLARS LLC,954-661-8582,,,",  ",,",  ",,LOW,FORT PIERCE,
ZJF BRANDS 2 LLC,727-754-4727,Karen@tfg.ventures,,",  ",,",  ","GUSTAVO ALI-SANTORO, Karen         M Roeder, Christina     P Feinstein, ZACHARY       J FEINSTEIN, ZACHARY       J FEINSTEIN",LOW,DUNEDIN,L15000031708
CANTINA MEXICAN GRILL & BAR,850-264-5525,yecid1317@gmail.com,,",  ",,",  ","ALEX          JR CUESTA, JONATHAN SCHULER, JONATHAN SCHULER, YECID CARDENAS, YECID CARDENAS",LOW,TAMPA,L15000055294
MARCS CUISINE,954-990-4360,,,",  ",,",  ",,LOW,OAKLAND PARK,
27WYNF&D LLC,786-979-3056,chefejecutivobenitojuarez@gmail.com,,",  ",,",  ","Karen Bohorquez, Karen Bohorquez",LOW,MIAMI,L21000407697
HISPANIC BUSINESS LLC,786-816-6246,apatino@creaticmiami.com,,",  ",,",  ","ANDRES PATINO GIRALDO, ANDRES PATINO GIRALDO",LOW,MIAMI,L22000491647
ENSENADA MIAMI LLC,646-436-9138,david@grandand.co,,",  ",,",  ","BRYCE KERVIN, DAVID SHAPIRO, DAVID SHAPIRO",LOW,MIAMI,L24000345473
WORLD FAMOUS NUNUS SWEET SOULFOOD 23 LLC,772-828-3144,leviedixon2345@gmail.com,,",  ",,",  ","PATRICIA MCNEAIR, LEVIE DIXON, PATRICIA      A MCNEAIR",LOW,FORT PIERCE,L22000163063
TWO SISTERS AND A DEVILED CRAB,904-536-5943,info@2sistersjax.com,,",  ",,",  ","Jo Neishia    L Johnson, KIARA         S SIMONS, JO NEISHIA    L JOHNSON",LOW,ORANGE PARK,L21000309670
CLANCYS CANTINA INC,386-314-6313,,,",  ",,",  ",,LOW,NEW SMYRNA BEACH,
EUPHORIA BAR AND GRILL LLC,305-494-5589,EUPHORIADAYTONABEACH@GMAIL.COM,,",  ",,",  ",,LOW,DAYTONA BEACH,
LA PETITE CUISINE MIAMI LLC,786-247-1381,Lapetitecuisinemiami@gmail.com,,",  ",,",  ","ABRAHAM       A COX, ABRAHAM       A COX, YANNICK SIMANTOB, ANTHONY SIMANTOB",LOW,MIAMI BEACH,L22000021582
KOREA TOWN FOOD LLC,954-579-4525,KOREATOWNFOOD@GMAIL.COM,,",  ",,",  ",,LOW,PLANTATION,
AL BARRIL FL LLC,407-624-6291,alexander.bustos@bandjprojects.com,,",  ",,",  ","Constanza Rodriguez, Leslie Gonzalez, LESLIE GONZALEZ",LOW,WINDERMERE,L24000475479
OVERRICE LLC,386-416-9030,,,",  ",,",  ",,LOW,ORLANDO,
LEMONI CAFE,305-571-5090,sandifurstein@yahoo.com,,",  ",,",  ","ASSIA DAHROUCH, MARIA         E PELATI, MARIA         E PELATI, ILANA MORROW, ILANA MORROW",LOW,MIAMI,P07000080543
BROTHER FOX SISTER HEN LLC,615-414-9626,John@CookedBooksTN.com,,",  ",,",  ",,LOW,PENSACOLA,L20000332547
305 GRILL LLC,305-479-9881,chefnorrie@gmail.com,,",  ",,",  ","KEITH NORRIE, KEITH NORRIE",LOW,PANAMA CITY BEACH,L22000355543
MERKADO 31 CORP,305-494-8308,KEYLIME@TAMPABAY.RR.COM,,",  ",,",  ","CARLOS        F PAREJA, EVELYN VERASTEGUI, MICHAEL       L MCCORD, JAMES         A BROWN, JAMES         A BROWN",LOW,NORTH MIAMI BEACH,P10000012832
TEQUIZTLAN MEXICAN RESTAURANT AND TEQUILA BAR LLC,305-397-8442,jortiz@tequiztlan.com,,",  ",,",  ","Stephanie Ortiz, Felipe Diniz, Marleny Ortiz, JOSE          M ORTIZ, Jose          M Ortiz",LOW,MIAMI BEACH,L11000139394
KIM-CHI GRILL LLC,305-215-5247,Reelfishin24@gmail.com,,",  ",,",  ","STANLEY CHINSKY, JAMES         Y BOYLE",LOW,BONITA SPRINGS,L21000455700
KUBA CABANA BAYSIDE LLC,201-452-9559,DGARRETSON@GARRETSONGRP.COM,,",  ",,",  ",,LOW,MIAMI,L21000177823
PIEHOLE WOOD FIRED PIZZA LLC,440-541-6844,mwholdings.florida@gmail.com,,",  ",,",  ",,LOW,PORT ST LUCIE,L23000419445
CRAFT LITTLE HAVANA LLC,786-564-5873,federico@bluemaxp.com,,",  ",,",  ","NICOLAS FANLO QUINTAR, NICOLAS BLECKWEDEL",LOW,MIAMI,L23000413655
MARIOS FAMILY RESTAURANT INC,305-224-3648,mwb_miami@yahoo.com,,",  ",,",  ","Mario         Sr. Hernandez, Mario         Sr. Hernandez, CARMENZA      O BLAUCH, MAURICE       W BLAUCH II",LOW,HOMESTEAD,P12000017797
BYTE AND COFFEE LLC,954-218-7559,catherine@bytencoffee.com,,",  ",,",  ","CATERINA      M BASILONE, CATERINA      M BASILONE",LOW,LIGHTHOUSE POINT,L21000477810
THE BRIDGES CAFE LLC,561-404-9255,gotdrinks@gmail.com,,",  ",,",  ","Kimberly      M Ingram, Nathaniel     P INGRAM, KAYLA         M MILLER, NATHANIEL INGRAM, ER-YONG FU",LOW,DELRAY BEACH,L18000011397
TASTY LEMON LLC,407-496-8052,luisprezfl@gmail.com,,",  ",,",  ","Nancy Rosario, LUIS          RSR PEREZ, LUIS          R PEREZ",LOW,KISSIMMEE,L16000111132
SUNNYSIDE CAFE INC,941-359-9500,SBRAZELL89@GMAIL.COM,,",  ",,",  ","ARDNAS DeFREITAS, ANDRE DEMACEDO SILVA, NADJA SANTOS, EDUARDO DEFREITAS, EDUARDO DEFREITAS",LOW,MELBOURNE BEACH,P13000043402
EL EMPANADAZO INC,561-503-1640,GOYO.PEREZ2012@GMAIL.COM,,",  ",,",  ","JESSICA CHACON, DANIEL CHACON, DANIEL CHACON, GREGORY       R PEREZ, GREGORY       R PEREZ",LOW,GREENACRES,P20000013440
LA ROMANITA RESTAURANT AND LOUNGE,305-305-5648,LENAPROCESSINGSERVICES@GMAIL.COM,,",  ",,",  ","JULIO         A AMORES, JULIO         A AMORES",LOW,MIRAMAR,L19000230484
FOOD RESTAURANT GROUP LLC,941-266-0300,justinrbay614@gmail.com,,",  ",,",  ","BAY           R JUSTIN, Justin        R Bay",LOW,SARASOTA,L23000193889
CASA MASA TOGO LLC,516-308-8572,robsclosing@gmail.com,,",  ",,",  ","ROBERT DISILVIO, KIMBERLY DARGIE",LOW,SARASOTA,L24000254422
GYROS2GO LLC,862-222-5478,info@gyros2go.com,,",  ",,",  ","WALTER        M BRAVO, WALTER        M BRAVO, ANDREAS VISILIAS, Andreas Visilias",LOW,SAN CARLOS PARK,L18000101187
ENTERTAINMENT WORLDWIDE LLC,407-732-4316,rkennerney@gmail.com,,",  ",,",  ","Robert Kennerney, ROBERT KENNERNEY",LOW,SANFORD,L22000201071
BAGEL BOYZ INC.,561-346-7985,obrien22051@aol.com,,",  ",,",  ","Seamus        M O'Brien, SEAMUS O'BRIEN",LOW,PALM BEACH GARDENS,P03000086988
JAYS STEAKHOUSE FTL LLC,305-789-2766,JAY@YESFBM.COM,,",  ",,",  ","DANA          L AHRON, BARRY AHRON, JAY           N SHIRODKAR",LOW,BOCA RATON,L25000031671
ASANI RESTAURANT GROUP 2 LLC,727-289-4198,buttermilkeat2@gmail.com,,",  ",,",  ","NUFRI ASANI, NUFRI ASANI",LOW,PINELLAS PARK,L23000532273
THE LICKING EXPRESS FOOD COURT,786-409-0625,,,",  ",,",  ",,LOW,OPA LOCKA,
KEKOON RESTAURANT & LOUNGE LLC,954-456-3283,hans.mullings@gmail.com,,",  ",,",  ",HANS MULLINGS,LOW,DAVIE,L23000532895
EL PRIMO RED TACOS LLC,786-417-9083,FLAGLER@ELPRIMOREDTACOS.COM,,",  ",,",  ",FRANK NERI,LOW,MIAMI,L20000298022
"LEONAS CUCINA, LLC",619-947-1409,,,",  ",,",  ",,LOW,JACKSONVILLE,
THREEFOLD CAFE LLC,917-371-4454,,,",  ",,",  ",,LOW,CORAL GABLES,
MARCA MIDTOWN LLC,305-528-0943,marceloferreiros@gmail.com,,",  ",,",  ","JUAN          C LEUZZI, ALBERTO       M FERREIROS",LOW,MIAMI,L23000124277
VINCENZO CUCINA LLC,908-625-2918,,,",  ",,",  ",,LOW,PONTE VEDRA BEACH,
RIVALES TAQUERIA & CRAFT BAR LLC,561-309-2208,avald84@yahoo.com,,",  ",,",  ","JORGE         MD BUENDIA, JIMMY RIVAS, Alberto Valdivia",LOW,WEST PALM BEACH,L14000058592
DONA JUANA GUATEMALAN RESTAURANT INC,239-600-5263,EDDY8709@GMAIL.COM,,",  ",,",  ","MARGARET      D RANDOLPH, Robert Hogan, Amber         L Randolph, Timothy       VII Randolph, CHARLES       W CRAMER",LOW,LEHIGH ACRES,P18000001870
MILAGRO RESTAURANT AND BAR LLC,305-393-0717,magdalena.montoya@milagrorestaurant.net,,",  ",,",  ","MAGDALENA MONTOYA, KEVIN MONTOYA, MAGDALENA MONTOYA",LOW,SUGARLOAF,L17000243514
SENOR LECHON Y MAS,407-948-0822,rvedd4@aol.com,,",  ",,",  ","EDWIN RIVERA, EDWIN RIVERA",LOW,WEST PALM BEACH,L23000454155
MOSHI MOSHI PALM GROVE LLC,786-352-6997,toshi@moshimoshi.fun,,",  ",,",  ","MARTINEZ JUAN, MANUEL LUCIANO, BELARMINIO MARTINEZ, TONY PORNPRINYA",LOW,MIAMI,L07000077752
LA PISTOLA LLC,850-329-6591,LINKTALLAHASSEE@GMAIL.COM,,",  ",,",  ",,LOW,TALLAHASSEE,
QUORE GELATO LLC,786-556-0849,kwon.lee@quoregelato.com,,",  ",,",  ","Jose Ann      D Watson, Kelvin        DSr. Ellis, BYRON         D STEVENSON, BYRON         D STEVENSON, Kwon          J Lee",LOW,MIAMI,L19000070578
THE BUTT HUTT SMOKEHOUSE,904-482-7512,selmahidic@aol.com,,",  ",,",  ","MARIO GARCIA, ROSELI ADAMS, ROSELI ADAMS, G. SCOTT HAISLET, JACOB BANDER",LOW,JACKSONVILLE,L15000000009
HAVANA NIGHT BAR AND GRILL,407-627-5699,faribabyhardt64@yahoo.com,,",  ",,",  ","LARITZA PENA PINA, JOSE CARLOS PEREZ PEREZ, JOSE CARLOS PEREZ PEREZ",LOW,PANAMA CITY,L23000435249
VBP 215 LLC,720-234-5694,RENEWALS@API.LAW,,",  ",,",  ",,LOW,NEW SMYRNA BEACH,L25000308238
THE CRAFTED DESSERT CO,352-606-9223,,,",  ",,",  ",,LOW,SPRING HILL,
MAZAL ORLANDO ENTERPRISE LLC,786-920-1976,Mazalorlando@gmail.com,,",  ",,",  ","MAYTE         A` RUIZ, MAYTE         A RUIZ",LOW,ORLANDO,L24000350065
KASE CUISINE LLC,458-219-1715,KASELLC1519@GMAIL.COM,,",  ",,",  ","SADE QUINTALL, CHRISTIAN STERLIN, CHRISTIAN STERLIN",LOW,FORT LAUDERDALE,L24000473545
PATRIZIA NYC LLC,646-853-1227,info@patriziasfortlauderdale.com,,",  ",,",  ","Emerson       A Insfran Mieres, EMERSON INSFRAN",LOW,FORT LAUDERDALE,L20000374860
DAILY NEWS RESTAURANT LLC,727-204-3324,samira230472@gmail.com,,",  ",,",  ","SAMIRA KARIC, SAMIRA KARIC",LOW,CLEARWATER,L22000326454
CORVO BIANCO LLC,914-733-2475,dena@corvobianco.pizza,,",  ",,",  ","JOSHUA LEIGH, DENA LEIGH, Dena          V Leigh",LOW,DUNEDIN,L19000157312
HOWLEYS RESTAURANT INC,561-310-5713,accounting@subculturegroup.com,,",  ",,",  ","RODNEY        B MAYO, MARIANNE      E MATTARY, ANN MARIE WILSON, ANTHONY       H MATTARY, GREGORY       W WILSON",LOW,WEST PALM BEACH,P04000093889
"REMY'S CAFE, LLC",727-400-4043,contactus@remyscafe.com,,",  ",,",  ","OMAR CALDERON-LARA, OMAR CALDERON-LARA",LOW,CLEARWATER,L20000133101
SOKAI SUSHI BAR DOWNTOWN LLC,786-660-6554,oriana@sokaisushi.com,,",  ",,",  ","JESUS         A MENESES, JESUS         A LEON, JESUS LEON",LOW,MIAMI,L22000483877
MORNING GLORY EATERY LLC,321-480-6757,pappagallos@cfl.rr.com,,",  ",,",  ","DAVID         C RICH, DAVID         C RICH",LOW,SATELLITE BEACH,L19000187894
"MICKEY BURKES, LLC",954-830-3545,brian@mickeyburkes.com,,",  ",,",  ","MICHAEL PALMA, BRIAN GERAGHTY, BRIAN GERAGHTY",LOW,MIAMI BEACH,L21000232382
SHAHS OF KABOB LLC,786-376-2711,acct@shahsofkabob.org,,",  ",,",  ","AMIN EBRAHIMI, AMIN EBRAHIMI",LOW,SOUTH MIAMI,L17000183763
NSB GRILLE,386-576-6646,nsbgrille@gmail.com,,",  ",,",  ","JAMES RUSHING, TRAVOUS DEVER, KENNETH       ESQ BOHANNON",LOW,NEW SMYRNA BEACH,L24000397550
FONDA LA CHISMOSA LLC,786-953-0621,info@lnaccountingsvc.com,,",  ",,",  ","DEANA         M USON, DEANA         W USON, JUAN          C DOMINGUEZ, JUAN          C DOMINGUEZ",LOW,MIAMI,L16000076932
ROOKIES CANTINA LLC,321-439-7671,jesush@rookiescantina.com,,",  ",,",  ","JESUS         H HERNANDEZ LUNA, JESUS         H HERNANDEZ LUNA",LOW,LONGWOOD,L15000117806
"LIL GREENHOUSE GRILL, LLC",786-506-5796,lilgreenhousegrill@gmail.com,,",  ",,",  ","Nakeeta GATES, KARIM         SR BRYANT, KARIM BRYANT",LOW,MIAMI,L14000188424
FAST AND BEAUTIFUL LLC,786-337-0865,VIRTUS@FASTERINDIO.COM,,",  ",,",  ","IBEETY FUENTES VARONA, REYNALDO RIVERO",LOW,FORT LAUDERDALE,L24000354131
SIMMONS SOUL FOOD & BBQ LLC,813-507-5401,simmonssoulfoodbbq@gmail.com,,",  ",,",  ","PHYLLIS       B SIMMONS, LONNIE SIMMONS, LONNIE SIMMONS",LOW,SPRING HILL,L22000131963
ANTOJITOS LA PATRONA LLC,352-626-2258,antojitoslapatrona@yahoo.com,,",  ",,",  ","ROSA          I PELAYO SOLTERO, ROSA          I PELAYO SOLTERO",LOW,PENSACOLA,L24000487600
ARTISTAS RESTAURANT INC.,786-385-9860,ARIMIRSERVICES@GMAIL.COM,,",  ",,",  ",,LOW,HIALEATH GARDENS,K29275
"ADVENTIST HEALTH SYSTEM/SUNBELT, INC.",407-646-7700,corp.legal@adventhealth.com,ADAMS SYLVIA R,"902 INSPIRATION AVENUE, ALTAMONTE SPRINGS 32714",1973-05-02,"900 HOPE WAY, ALTAMONTE SPRINGS 32714",Pres: Banks David; PADD: SCOTT LYNN 900; ner: Thomas L 1670 Nor; : Dima 14055 Riverd; : Toni Adventist Health; : Michael Adventist Health Sys,LOW,WINTER PARK,726307
ZIPPOPS GOURMET PALETAS LLC,787-370-9056,zippopspaletas@gmail.com,,",  ",,",  ","PAOLA DE JESUS, ANGEL NEGRON, ANGEL         J NEGRON",LOW,KISSIMMEE,L22000273490
"POINTE GRAND DAYTONA, LLC",386-280-7102,dhaynes@hillpointe.com,,",  ",,",  ",Seth Coleman,LOW,WINTER PARK,L20000294264
EZ EATS LLC,724-498-7777,Eliezeats@gmail.com,,",  ",,",  ","ELIJAH ELLIS, JAY HUIE",LOW,KISSIMMEE,L20000183054
LATIN CORAL WAY LLC,305-860-5707,consultantfr305@gmail.com,,",  ",,",  ","LETICIA ABREU ROJAS, LETICIA ABREU ROJAS",LOW,MIAMI,L22000127283
"OAK STONE, LLC",407-267-3513,bgrandison@bergersingerman.com,,",  ",,",  ","CARLOS        J BENCOMO, CARLOS        J BENCOMO, John          M Ryan",LOW,TAMPA,L07000116351
NEWMAN DAVID,303-220-0183,,,",  ",,",  ",,LOW,BOCA RATON,
PGA EATERY LLC,954-553-1877,mreiss@rjdcorps.com,,",  ",,",  ","RALPH DISALVO, RALPH DISALVO",LOW,PALM BEACH GARDENS,L23000448919
NEGRONI BRICKELL LLC,786-351-8997,dvalvarez.associatesmobile@gmail.com,,",  ",,",  ",PABLO SARTORI,LOW,DORAL,L21000113230
A&M HEALTHY KITCHEN TO GO LLC,954-695-1816,,,",  ",,",  ",,LOW,PARK,
TG CATCH LLC,813-782-7770,DAVIDRINGRAM@GMAIL.COM,,",  ",,",  ","AVERY         C INGRAM, BRANDON       M DUBATOWKA, DAVID         R INGRAM",LOW,ZEPHYRHILLS,L25000174075
GLEM ENTERPRISES LLC,214-402-4844,RLSOS@PARASEC.COM,,",  ",,",  ","GEORGE MARGIOUKLA, ANA PAULA SILVEIRA SCHOENARDIE, ANA PAULA SILVEIRA SCHOENARDIE",LOW,BRADENTON,L25000030793
CANOPY ROAD CAFE 4 LLC,407-967-1149,draneymd@aol.com,,",  ",,",  ","ALCIDES       M BONILLA, ALCIDES       M BONILLA, BRAD          M BUCKENHEIMER, DAVID         R RANEY",LOW,TAMPA,L18000044729
CON HAMBRE RESTAURANT &  BAR INC,954-709-5847,compliance@zenbusiness.com,,",  ",,",  ","MADELENNE PAULINO GENAO, MIGUEL        A DIAZ PANTALEON, MIGUEL        A DIAZ PANTALEON, Roman Sydorenko",LOW,HOLLYWOOD,P23000044716
EL RANCHO DE SARASOTA INC,941-400-7110,MIKEHRA@ICLOUD.COM,,",  ",,",  ","Thomas Goodrich, Thomas Goodrich, VICTOR        A GANAJA, VICTOR        A GANAJA, ALYSIA CENTERS",LOW,SARASOTA,P24000007685
MR PEPITO INC,813-419-9381,DRUABBOTT@GMAIL.COM,,",  ",,",  ","ANDREW ABBOTT, ANDREW ABBOTT, DANIEL DO REGO BAYARRES, DANIEL DO REGO BAYARRES",LOW,TAMPA,P16000043229
PEACHY PIES FRESH MARKET & CAFE CO,352-737-0570,,,",  ",,",  ",,LOW,BROOKSVILLE,
VILLA D ROSE CORP,786-216-8001,Imperialproductsllc@gmail.com,,",  ",,",  ","OSMEY DIAZ FERNANDEZ, OSMANY DIAZ VALDES, OSMANY DIAZ VALDES, IRENE ZERVOS, DEMETRI ZERVOS",LOW,WEST MIAMI,P23000041368
TASTY G SPOT LLC,305-389-4059,incorporations@taxleaf.com,,",  ",,",  ","MARCELINE     M JEAN-JACQUES, IESHA         B GUERRIER, DIEUPRESERVE JEAN-JACQUES, MARCELINE     M JEAN-JACQUES",LOW,HALLANDALE BEACH,L22000194813
LA ROTONDA SUPERMAKET,813-925-9132,deleonjunior@aol.com,,",  ",,",  ","JUNIOR DE LEON, JUNIOR DE LEON",LOW,LIVE OAK,L20000306080
YARDBIRDS OF NW FLORIDA,850-226-4626,,,",  ",,",  ",,LOW,FT WALTON BEACH,
OFF THA BONE BBQ LLC,561-480-6137,offthabone561@gmail.com,,",  ",,",  ","MARIA         E VALLE, MARIA         E VALLE, Kimberly Spann, DANIEL        OSR SPANN, Daniel        OSr. Spann",LOW,"WEST PALM BEACH,",L17000072118
ISLAND GRILL 184,786-740-0749,EASTERN@REGISTEREDAGENTSINC.COM,,",  ",,",  ","BRANDON MCKENZIE, BRANDON MCKENZIE, KIARA PEREZ",LOW,PALMETTO BAY,P22000057124
I LOVE ORLANDO CAFE LLC,321-358-7930,ILOVEORLANDOCAFE@GMAIL.COM,,",  ",,",  ","JOSEPH        A AINTABI, Carlos Croes, JOSEPH        A AINTABI",LOW,ORLANDO,L23000370506
